block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
55;measure;kernel.c:107-110;33.906631469727;0.69000005722046;;;;;;;;
56;measure;kernel.c:107-110;24.815719604492;0.50499999523163;;;;;;;;
45;measure;kernel.c:113-113;11.547909736633;0.23499999940395;;;;;;;;
60;measure;kernel.c:113-114;11.05650806427;0.22499997913837;;;;;;;;
44;measure;kernel.c:104-104;5.4054045677185;0.10999999940395;;;;;;;;
59;measure;kernel.c:113-114;3.1941025257111;0.064999997615814;;;;;;;;
53;measure;kernel.c:106-106;2.2113018035889;0.044999998062849;;;;;;;;
28;measure;kernel.c:93-99;1.4742012023926;0.029999999329448;;;;;;;;
41;measure;kernel.c:99-106,kernel.c:113-113;1.2285009622574;0.024999998509884;;;;;;;;
39;measure;kernel.c:99-100;0.98280084133148;0.02000000141561;;;;;;;;
38;measure;kernel.c:118-118;0.49140042066574;0.010000000707805;;;;;;;;
46;measure;kernel.c:106-106;0.49140042066574;0.010000000707805;;;;;;;;
47;measure;kernel.c:106-106;0.49140042066574;0.010000000707805;;;;;;;;
145;measure;driver.c:77-77;0.49140042066574;0.010000000707805;;;;;;;;
54;measure;kernel.c:106-108;0.49140042066574;0.010000000707805;;;;;;;;
33;measure;kernel.c:99-100;0.49140042066574;0.010000000707805;;;;;;;;
37;measure;kernel.c:99-104,kernel.c:113-113;0.24570021033287;0.0050000003539026;;;;;;;;
42;measure;kernel.c:105-106;0.24570021033287;0.0050000003539026;;;;;;;;
58;measure;kernel.c:114-114;0.24570021033287;0.0050000003539026;;;;;;;;
51;measure;kernel.c:106-106;0.24570021033287;0.0050000003539026;;;;;;;;
146;measure;driver.c:76-76;0.24570021033287;0.0050000003539026;;;;;;;;
