block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
55;measure;kernel.c:107-110;33.906631469727;0.69000005722046;0.69000005722046;0.69000005722046;0.69000005722046;0;0;1;;
56;measure;kernel.c:107-110;24.815719604492;0.50499999523163;0.50499993562698;0.50499993562698;0.50499993562698;0;0;1;;
45;measure;kernel.c:113-113;11.547909736633;0.23499999940395;0.23499998450279;0.23499998450279;0.23499998450279;0;0;1;;
60;measure;kernel.c:113-114;11.05650806427;0.22499997913837;0.22499997913837;0.22499997913837;0.22499997913837;0;0;1;;
44;measure;kernel.c:104-104;5.4054045677185;0.10999999940395;0.10999999940395;0.10999999940395;0.10999999940395;0;0;1;;
59;measure;kernel.c:113-114;3.1941025257111;0.064999997615814;0.064999997615814;0.064999997615814;0.064999997615814;0;0;1;;
53;measure;kernel.c:106-106;2.2113018035889;0.044999998062849;0.044999998062849;0.044999998062849;0.044999998062849;0;0;1;;
28;measure;kernel.c:93-99;1.4742012023926;0.029999999329448;0.029999999329448;0.029999999329448;0.029999999329448;0;0;1;;
41;measure;kernel.c:99-106,kernel.c:113-113;1.2285009622574;0.024999998509884;0.025000000372529;0.025000000372529;0.025000000372529;0;0;1;;
39;measure;kernel.c:99-100;0.98280084133148;0.02000000141561;0.019999999552965;0.019999999552965;0.019999999552965;0;0;1;;
38;measure;kernel.c:118-118;0.49140042066574;0.010000000707805;0.0099999997764826;0.0099999997764826;0.0099999997764826;0;0;1;;
46;measure;kernel.c:106-106;0.49140042066574;0.010000000707805;0.0099999997764826;0.0099999997764826;0.0099999997764826;0;0;1;;
47;measure;kernel.c:106-106;0.49140042066574;0.010000000707805;0.0099999997764826;0.0099999997764826;0.0099999997764826;0;0;1;;
145;measure;driver.c:77-77;0.49140042066574;0.010000000707805;0.0099999997764826;0.0099999997764826;0.0099999997764826;0;0;1;;
54;measure;kernel.c:106-108;0.49140042066574;0.010000000707805;0.0099999997764826;0.0099999997764826;0.0099999997764826;0;0;1;;
33;measure;kernel.c:99-100;0.49140042066574;0.010000000707805;0.0099999997764826;0.0099999997764826;0.0099999997764826;0;0;1;;
37;measure;kernel.c:99-104,kernel.c:113-113;0.24570021033287;0.0050000003539026;0.0049999998882413;0.0049999998882413;0.0049999998882413;0;0;1;;
42;measure;kernel.c:105-106;0.24570021033287;0.0050000003539026;0.0049999998882413;0.0049999998882413;0.0049999998882413;0;0;1;;
58;measure;kernel.c:114-114;0.24570021033287;0.0050000003539026;0.0049999998882413;0.0049999998882413;0.0049999998882413;0;0;1;;
51;measure;kernel.c:106-106;0.24570021033287;0.0050000003539026;0.0049999998882413;0.0049999998882413;0.0049999998882413;0;0;1;;
146;measure;driver.c:76-76;0.24570021033287;0.0050000003539026;0.0049999998882413;0.0049999998882413;0.0049999998882413;0;0;1;;
